MES,COORDINADORA,count,util_positive,util_negative,no_contact,acw,aht,llave,tiempo_acw,tiempo_aht,tasa_contacto,count_promises,ticket,ticket_medio
7.0,IC,689.0,95.0,108.0,503.0,2700.0,50550.0,IC7,00:45,14:02,14.000000000000002,,,
8.0,IC,8856.0,3053.0,4859.0,13606.0,173615.0,1418255.0,IC8,00:13,09:57,34.0,1786.0,"$694,549,166.00","$204,881.76"
9.0,CG,9363.0,3728.0,3190.0,8805.0,221949.0,2056581.0,CG9,13:39,19:16,40.0,1521.0,"$6,217,070,200.00","$3,019,461.00"
9.0,IC,17082.0,6040.0,6816.0,21583.0,112254.0,3047162.0,IC9,07:10,06:26,35.0,3729.0,"$1,547,735,448.00","$236,187.31"
10.0,CG,10824.0,4461.0,2597.0,20805.0,120583.0,2220731.0,CG10,09:29,16:52,41.0,1783.0,"$476,461,502.00","$165,438.02"
10.0,IC,19249.0,4403.0,2911.0,18720.0,118995.0,2013608.0,IC10,09:03,07:20,23.0,2950.0,"$913,606,099.00","$219,616.85"
,Suma,66063.0,21780.0,20481.0,84022.0,750096.0,10806887.0,,,,187.0,,,
,Promedio,11010.5,3630.0,3413.5,14003.67,125016.0,1801147.83,,451:00,6504:09,31.17,,,
